interesting,מְעַנְיֵן
boring,מְשַׁעֲמֵם
personal,אִישִׁי
emotional,רִגְשִׁי
emotion,רֶגֶשׁ
religion,דָּת
religious people,דָּתִיִּים
reason,סִבָּה
advisor,יוֹעֵץ
research,מֶחְקָר
researcher,חוֹקֵר
future,עָתִיד
together,בְּיַחַד
I am frustrated.,אֲנִי מְתֻסְכָּל/ת.
tomorrow,מָחָר
polling station,קַלְפִּי
election,בְּחִירוֹת
to smoke, לְעַשֵּׁן
(he) smokes,מְעַשֵּׁן
to research,לַחְקֹר
(he) researches,חוֹקֵר
to choose, לִבְחֹר
(he) chooses,בּוֹחֵר
to progress, לְהִתְקַדֵּם
(he) progresses,מִתְקַדֵּם
to vote, לְהַצְבִּיעַ
(he) votes,מַצְבִּיעַ
