to meet,לְהִפָּגֵשׁ
(he) meets,נִפְגָּשׁ
to sing,לָשִׁיר
(he) sings,שָׁר
sun-tanning,שִׁזּוּף
to sun-bathe,הִשְׁתַּזֵּף
(he) sun-bathes,מִשְׁתַּזֵּף
cutlet(hamburg-steak),קְצִיצָה
to nap,לְנַמְנֵם
(he) naps,מְנַמְנֵם
bicycle,אוֹפַנַּיִם
independent,עַצְמָאִי
yard,חָצֵר
shadow/shade,צֵל
olive tree,עֲצֵי זַיִת
crowd,הָמוֹן
guest,אוֹרֵחַ
summer,קַיִץ
everyone,כָּל אֶחָד
to say,לוֹמַר/לֵאמֹר
I said,אָמַרְתִּי
(he) says,אוֹמֵר
visit [noun],בִּקּוּר
to paint,לִצְבֹּעַ
I painted,צָבַעְתִּי
(he) paints,צוֹבֵעַ
fence/boundary,גָּדֵר
to cut (shorten),לִקְצֹר
I cut (shortened),קָצַרְתִּי
(he) cuts (shortens),קוֹצֵר
grass,דֶּשֶׁא
world,עוֹלָם
to approach,לָגֶשֶׁת
to open,לִפְתֹּחַ
I opened,פָּתַחְתִּי
(he) opens widely,פּוֹתֵחַ לִרְוָחָה
blessing,בְּרָכָה
to bring,לְהָבִיא
I brought,הֵבֵאתִי
(he) brings,מֵבִיא
to stay as a guest,לְהִתְאָרֵחַ
I stayed as a guest,הִתְאָרַחְתִּי
(he) stays as a guest,מִתְאָרֵחַ
to dance,לִרְקֹד
I danced,רָקַדְתִּי
(he) dances,רוֹקֵד
circle,מַעְגָּל
