roof	גַּג
next week	שָׁבוּעַ הַבָּא
last week	שָׁבוּעַ שֶעָבָר
except for	חוּץ מ
rest (reminder)	שְׁאָר
from / to (time)	מ / עד
outside-ward	הַחוּצָה
calm (relaxed)	רָגוּעַ
wedding	חֲתֻנָּה
headline	כּוֹתֶרֶת

to translate	לְתַרְגֵּם
I translated	תִּרְגַּמְתִּי
(he) translates	מְתַרְגֵּם

to meet	לְהִפָּגֵשׁ
I met	נִפְגַּשְׁתִּי
(he) meets	נִפְגָּשׁ

to listen	לִשְׁמֹעַ
I listened	שָׁמַעְתִּי
(he) listens	שׁוֹמֵעַ
we will listen	נִשְׁמַע

to improve	לְשַׁפֵּר
I improved	שִׁפַּרְתִּי
he improves	מְשַׁפֵּר

to cook	לְבַשֵּׁל
I cooked	בִּשַּׁלְתִּי
(he) cooks	מְבַשֵּׁל

to go out	לָצֵאת
I went out	יָצָאתִי
(he) goes out	יוֹצֵא

to swim	לִשְׂחוֹת
I swam	שָׂחִיתִי
(he) swims	שׂוֹחֶה

to play (music)	לְנַגֵּן
I played (music)	נִגַּנְתִּי
(he) plays (music)	מְנַגֵּן

to rest	לָנוּחַ
I rested	נַחְתִּי
(he) rests	נָח

to marry	לְהִתְחַתֵּן
I married	הִתְחַתַּנְתִּי
(he) marries	מִתְחַתֵּן

to take care of	לְטַפֵּל
I took care of	טִפַּלְתִּי
(he) takes care of	מְטַפֵּל

to search	לְחַפֵּשׂ
I searched	חִפַּשְׂתִּי
(he) searches	מְחַפֵּשׂ

to spell	לְאַיֵּת
I spelled	אִיַּתִּי
(he) spells	מְאַיֵּת

bill/check	חֶשְׁבּוֹן
gas tank	בָּלוֹן גָּז
technician	טֶכְנַאי
contract number	מִסְפָּר חוֹזֶה
gas pipe	צִנּוֹר גָּז
faucet	בֶּרֶז
stove (cooker)	כִּירַיִם

electricity	חַשְׁמַל
electrical outlet	שֶׁקַע
electric plug	תֶּקַע
electricity meter	מוֹנֶה חַשְׁמַל

(electricity) switch	מַפְסֵק/מֶתֶג
electrical cabinet	אָרוֹן חַשְׁמַל
closet	אָרוֹן
blackout	הַפְסָקַת חַשְׁמַל
?? jump of fuse?	קפץ החשמל
circuit breaker	פְּחָת
(electricity) fuse	פְיוּז
electrician	חַשְׁמַלַּאי
lamp	מְנוֹרָה
light bulb	נוּרָה

mailbox	תֵּבַת דֹּאַר
letter, note, message	מִכְתָּב
parcel	חֲבִילָה
registered mail	דֹּאַר רִשּׁוּם
postal worker (carrier)	דַּוָּר
stamp (postal)	בּוּל
envelope	מַעֲטָפָה
postcard	גְּלוּיָה
postoffice branch	סְנִיף דֹּאַר
delivery	מִשְׁלוֹחַ

to send	לִשְׁלֹחַ
I sent	שָׁלַחְתִּי
(he) sends	שׁוֹלֵחַ



bank account	חֶשְׁבּוֹן בַּנְק
bank branch	סְנִיף בַּנְק
checking account	חֶשְׁבּוֹן עוֹבֵר וָשָׁב
credit card	כַּרְטִיס אַשְׁרַאי
savings	חִסָּכוֹן
deposit	פִּקָּדוֹן
debt	חוֹב
(banking) interest	רִבִּית
ATM	כַּסְפּוֹמָט
to withdraw money	לִמְשֹׁךְ כֶּסֶף
to deposit money	לְהַפְקִיד כֶּסֶף
to transfer money	לְהַעֲבִיר כֶּסֶף
credit card	כַּרְטִיס אַשְׁרַאי
allowance	תַּקְצִיב
deficit	גֵּרָעוֹן
validity	תֹּקֶף

water meter	מוֹנֶה מַיִם
water pressure	לַחַץ מַיִם
filling/blockage	סְתִימָה
sink	כִּיּוֹר
shower	מִקְלַחַת
toilet tank	נִיאָגָרָה
toilet bowl	אַסְלָה
lavatory	שֵׁרוּתִים
plumber	אִינְסְטֶלָטוֹר / שְׁרַבְרָב
sewage	בִּיּוּב
pipeline	צַנֶּרֶת

address	כְּתֹבֶת
landlord	בַּעַל בַּיִת
tenant	שׂוֹכֵר

to rent	לְהַשְׂכִּיר
I rented	הִשְׂכַּרְתִּי
(he) rents	מַשְׂכִּיר
house committee	וַעַד בַּיִת
neighbor (s/pl)	שָׁכֵן/שְׁכֵנָה / שְׁכֵנִים/שְׁכֵנוֹת
ground floor	קוֹמַת קַרְקַע
apartment (flat)	דִּירָה
building	בִּנְיָן
stair-room	חֶדֶר מַדְרֵגוֹת
shelter	מִקְלָט
space	מֶרְחָב
protected	מוּגָן
secure room	ממ“ד (מֶרְחָב מוּגָן דִּירָתִי)
