kitchen,מִטְבָּח
salon/living room,סָלוֹן
toilet,שֵׁרוּתִים
bedroom,חֲדַר שֵׁנָה (חדר שינה)
veranda (porch),מִרְפֶּסֶת
corner,פִּנָּה
dining,פִּנַת אוֹכֶל
object (thing),חֵפֶץ
cup,כּוֹס
dish,צַלַּחַת
knife,סַכִּין
spoon,כַּף
fork,מַזְלֵג
cutlery,סָכּוּ"ם
teaspoon,כַּפִּית
tablecloth,מַפָּה
napkin,מַפִּית
frying pan,מַחֲבַת
cooking pot,סִיר
microwave oven,מִיקְרוֹגַל
stove,תַּנּוּר
refrigerator,מְקָרֵר
dishwashing machine,מֵדִיחַ
rubbish,זֶבֶל
garbage can,פַּח
sofa,סַפָּה
armchair,כֻּרְסָה
television,טֶלֶוִיזְיָה
furniture(s),רָהִיטִים
coffee table,שֻׁלְחָן קָפֶה
air conditioner,מַזְגָן
window,חַלּוֹן
wall,קִיר
door,דֶּלֶת
old doors,דְּלָתוֹת יְשָׁנוֹת
sink,כִּיּוֹר
faucet,בֶּרֶז
toiletpaper,נְיַר טוּאָלֶט
toilet bowl,אַסְלָה
shower,מִקְלַחַת
weigh-scale,מִשְׁקָל
towel,מַגֶּבֶת
mirror,מַרְאָה
squeegee (to wipe the floor),מַגֵּב
broom,מַטְאֲטֵא
bathtub,אַמְבַּטְיָה
bath mat,שְׁטִיחַ אַמְבַּטְיָה
brush,מִבְרֶשֶׁת
toothbrush,מִבְרֶשֶׁת שִׁנַּיִם
hair,שֵׂעָר (שיער)
hairbrush,מִבְרֶשֶׁת שֵׂעָר
toilet brush,מִבְרֶשֶׁת אַסְלָה
to wipe-dry,לְנַגֵּב
(he) wipe-dries,מְנַגֵּב
